News_Data,Labelling,Cleaned_News-Data,Tokenized,Tokenized_Stopword,Tokenized_Stopword_Stemmed,Detokenized
Aktivis lingkungan NTT ditemukan meninggal â€“ Apa yang diketahui sejauh ini?,-1,aktivis lingkungan ntt ditemukan meninggal â apa yang diketahui sejauh ini,"['aktivis', 'lingkungan', 'ntt', 'ditemukan', 'meninggal', 'â', 'apa', 'yang', 'diketahui', 'sejauh', 'ini']","['aktivis', 'lingkungan', 'ntt', 'ditemukan', 'meninggal', 'â']","['aktivis', 'lingkung', 'ntt', 'temu', 'tinggal', '']",aktivis lingkung ntt temu tinggal
'Mamah tidak rela hidup terus-terusan susah' â€“ Kisah ibu dan dua anak di Kabupaten Bandung mengakhiri hidup diduga karena tekanan ekonomi,-1,mamah tidak rela hidup terus terusan susah â kisah ibu dan dua anak di kabupaten bandung mengakhiri hidup diduga karena tekanan ekonomi,"['mamah', 'tidak', 'rela', 'hidup', 'terus', 'terusan', 'susah', 'â', 'kisah', 'ibu', 'dan', 'dua', 'anak', 'di', 'kabupaten', 'bandung', 'mengakhiri', 'hidup', 'diduga', 'karena', 'tekanan', 'ekonomi']","['mamah', 'rela', 'hidup', 'terusan', 'susah', 'â', 'kisah', 'anak', 'kabupaten', 'bandung', 'hidup', 'diduga', 'tekanan', 'ekonomi']","['mamah', 'rela', 'hidup', 'terus', 'susah', '', 'kisah', 'anak', 'kabupaten', 'bandung', 'hidup', 'duga', 'tekan', 'ekonomi']",mamah rela hidup terus susah  kisah anak kabupaten bandung hidup duga tekan ekonomi
Sri Mulyani minta maaf setelah serahkan jabatan kepada menkeu yang baru,0,sri mulyani minta maaf setelah serahkan jabatan kepada menkeu yang baru,"['sri', 'mulyani', 'minta', 'maaf', 'setelah', 'serahkan', 'jabatan', 'kepada', 'menkeu', 'yang', 'baru']","['sri', 'mulyani', 'maaf', 'serahkan', 'jabatan', 'menkeu']","['sri', 'mulyani', 'maaf', 'serah', 'jabat', 'menkeu']",sri mulyani maaf serah jabat menkeu
21 tahun kematian Munir â€“ Mengapa kasusnya sulit diungkap?,-1,tahun kematian munir â mengapa kasusnya sulit diungkap,"['tahun', 'kematian', 'munir', 'â', 'mengapa', 'kasusnya', 'sulit', 'diungkap']","['kematian', 'munir', 'â', 'kasusnya', 'sulit', 'diungkap']","['mati', 'munir', '', 'kasus', 'sulit', 'ungkap']",mati munir  kasus sulit ungkap
Mengapa foto Menhut Raja Juli bermain domino dengan bekas tersangka pembalak liar problematik?,0,mengapa foto menhut raja juli bermain domino dengan bekas tersangka pembalak liar problematik,"['mengapa', 'foto', 'menhut', 'raja', 'juli', 'bermain', 'domino', 'dengan', 'bekas', 'tersangka', 'pembalak', 'liar', 'problematik']","['foto', 'menhut', 'raja', 'juli', 'bermain', 'domino', 'bekas', 'tersangka', 'pembalak', 'liar', 'problematik']","['foto', 'menhut', 'raja', 'juli', 'main', 'domino', 'bekas', 'sangka', 'balak', 'liar', 'problematik']",foto menhut raja juli main domino bekas sangka balak liar problematik
"Didakwa lakukan makar, empat warga Papua mulai disidangkan di Makassar â€“ 'Mereka cuma antar surat, tapi dituduh berencana makar'",0,didakwa lakukan makar empat warga papua mulai disidangkan di makassar â mereka cuma antar surat tapi dituduh berencana makar,"['didakwa', 'lakukan', 'makar', 'empat', 'warga', 'papua', 'mulai', 'disidangkan', 'di', 'makassar', 'â', 'mereka', 'cuma', 'antar', 'surat', 'tapi', 'dituduh', 'berencana', 'makar']","['didakwa', 'lakukan', 'makar', 'warga', 'papua', 'disidangkan', 'makassar', 'â', 'surat', 'dituduh', 'berencana', 'makar']","['dakwa', 'laku', 'makar', 'warga', 'papua', 'sidang', 'makassar', '', 'surat', 'tuduh', 'rencana', 'makar']",dakwa laku makar warga papua sidang makassar  surat tuduh rencana makar
Dari tumpukan sampah menjadi benda berguna: Kisah warga Sumenep atasi masalah sampah yang semakin 'serius',1,dari tumpukan sampah menjadi benda berguna kisah warga sumenep atasi masalah sampah yang semakin serius,"['dari', 'tumpukan', 'sampah', 'menjadi', 'benda', 'berguna', 'kisah', 'warga', 'sumenep', 'atasi', 'masalah', 'sampah', 'yang', 'semakin', 'serius']","['tumpukan', 'sampah', 'benda', 'berguna', 'kisah', 'warga', 'sumenep', 'atasi', 'sampah', 'serius']","['tumpu', 'sampah', 'benda', 'guna', 'kisah', 'warga', 'sumenep', 'atas', 'sampah', 'serius']",tumpu sampah benda guna kisah warga sumenep atas sampah serius
"Petenis putri Indonesia, Janice Tjen, tampil luar biasa dalam turnamen WTA 250, Chennai Open 2025, setelah lolos di nomor tunggal dan ganda putri di India. Pada nomor tunggal putri, Janice Tjen akan menghadapi petenis Australia, Kimberly Birrell dalam babak final, Minggu (2/10) malam waktu Indonesia. Perjalanan Janice yang jadi unggulan empat ke final Chennai Open dimulai dari mengalahkan petenis kualifikasi Caroline Werner dalam duel sengit tiga set di babak pertama.  ADVERTISEMENT   SCROLL",1,petenis putri indonesia janice tjen tampil luar biasa dalam turnamen wta chennai open setelah lolos di nomor tunggal dan ganda putri di india pada nomor tunggal putri janice tjen akan menghadapi petenis australia kimberly birrell dalam babak final minggu malam waktu indonesia perjalanan janice yang jadi unggulan empat ke final chennai open dimulai dari mengalahkan petenis kualifikasi caroline werner dalam duel sengit tiga set di babak pertama advertisement scroll,"['petenis', 'putri', 'indonesia', 'janice', 'tjen', 'tampil', 'luar', 'biasa', 'dalam', 'turnamen', 'wta', 'chennai', 'open', 'setelah', 'lolos', 'di', 'nomor', 'tunggal', 'dan', 'ganda', 'putri', 'di', 'india', 'pada', 'nomor', 'tunggal', 'putri', 'janice', 'tjen', 'akan', 'menghadapi', 'petenis', 'australia', 'kimberly', 'birrell', 'dalam', 'babak', 'final', 'minggu', 'malam', 'waktu', 'indonesia', 'perjalanan', 'janice', 'yang', 'jadi', 'unggulan', 'empat', 'ke', 'final', 'chennai', 'open', 'dimulai', 'dari', 'mengalahkan', 'petenis', 'kualifikasi', 'caroline', 'werner', 'dalam', 'duel', 'sengit', 'tiga', 'set', 'di', 'babak', 'pertama', 'advertisement', 'scroll']","['petenis', 'putri', 'indonesia', 'janice', 'tjen', 'tampil', 'turnamen', 'wta', 'chennai', 'open', 'lolos', 'nomor', 'tunggal', 'ganda', 'putri', 'india', 'nomor', 'tunggal', 'putri', 'janice', 'tjen', 'menghadapi', 'petenis', 'australia', 'kimberly', 'birrell', 'babak', 'final', 'minggu', 'malam', 'indonesia', 'perjalanan', 'janice', 'unggulan', 'final', 'chennai', 'open', 'mengalahkan', 'petenis', 'kualifikasi', 'caroline', 'werner', 'duel', 'sengit', 'set', 'babak', 'advertisement', 'scroll']","['tenis', 'putri', 'indonesia', 'janice', 'tjen', 'tampil', 'turnamen', 'wta', 'chennai', 'open', 'lolos', 'nomor', 'tunggal', 'ganda', 'putri', 'india', 'nomor', 'tunggal', 'putri', 'janice', 'tjen', 'hadap', 'tenis', 'australia', 'kimberly', 'birrell', 'babak', 'final', 'minggu', 'malam', 'indonesia', 'jalan', 'janice', 'unggul', 'final', 'chennai', 'open', 'kalah', 'tenis', 'kualifikasi', 'caroline', 'werner', 'duel', 'sengit', 'set', 'babak', 'advertisement', 'scroll']",tenis putri indonesia janice tjen tampil turnamen wta chennai open lolos nomor tunggal ganda putri india nomor tunggal putri janice tjen hadap tenis australia kimberly birrell babak final minggu malam indonesia jalan janice unggul final chennai open kalah tenis kualifikasi caroline werner duel sengit set babak advertisement scroll
"Pasukan Dukungan Cepat atau Rapid Support Forces (RSF) menjadi sorotan setelah menduduki kota di negara bagian Darfur, El Fasher, Sudan hingga diduga menyebabkan sekitar 2.000 warga sipil tewas pekan lalu. Dalam video yang beredar di media sosial, anggota RSFÂ diduga menyiksa dan mengeksekusi warga. Di masa lalu, personel paramiliter ini bahkan disebut kerap merekam kekejaman yang dilakukan.   ADVERTISEMENT   SCROLL TO CONTINUE WITH CONTENT  Eksekusi itu terjadi saat perang sipil berkobar di",-1,pasukan dukungan cepat atau rapid support forces rsf menjadi sorotan setelah menduduki kota di negara bagian darfur el fasher sudan hingga diduga menyebabkan sekitar warga sipil tewas pekan lalu dalam video yang beredar di media sosial anggota rsfâ diduga menyiksa dan mengeksekusi warga di masa lalu personel paramiliter ini bahkan disebut kerap merekam kekejaman yang dilakukan advertisement scroll to continue with content eksekusi itu terjadi saat perang sipil berkobar di,"['pasukan', 'dukungan', 'cepat', 'atau', 'rapid', 'support', 'forces', 'rsf', 'menjadi', 'sorotan', 'setelah', 'menduduki', 'kota', 'di', 'negara', 'bagian', 'darfur', 'el', 'fasher', 'sudan', 'hingga', 'diduga', 'menyebabkan', 'sekitar', 'warga', 'sipil', 'tewas', 'pekan', 'lalu', 'dalam', 'video', 'yang', 'beredar', 'di', 'media', 'sosial', 'anggota', 'rsfâ', 'diduga', 'menyiksa', 'dan', 'mengeksekusi', 'warga', 'di', 'masa', 'lalu', 'personel', 'paramiliter', 'ini', 'bahkan', 'disebut', 'kerap', 'merekam', 'kekejaman', 'yang', 'dilakukan', 'advertisement', 'scroll', 'to', 'continue', 'with', 'content', 'eksekusi', 'itu', 'terjadi', 'saat', 'perang', 'sipil', 'berkobar', 'di']","['pasukan', 'dukungan', 'cepat', 'rapid', 'support', 'forces', 'rsf', 'sorotan', 'menduduki', 'kota', 'negara', 'darfur', 'el', 'fasher', 'sudan', 'diduga', 'menyebabkan', 'warga', 'sipil', 'tewas', 'pekan', 'video', 'beredar', 'media', 'sosial', 'anggota', 'rsfâ', 'diduga', 'menyiksa', 'mengeksekusi', 'warga', 'personel', 'paramiliter', 'kerap', 'merekam', 'kekejaman', 'advertisement', 'scroll', 'to', 'continue', 'with', 'content', 'eksekusi', 'perang', 'sipil', 'berkobar']","['pasu', 'dukung', 'cepat', 'rapid', 'support', 'forces', 'rsf', 'sorot', 'duduk', 'kota', 'negara', 'darfur', 'el', 'fasher', 'sudan', 'duga', 'sebab', 'warga', 'sipil', 'tewas', 'pekan', 'video', 'edar', 'media', 'sosial', 'anggota', 'rsf', 'duga', 'siksa', 'eksekusi', 'warga', 'personel', 'paramiliter', 'kerap', 'rekam', 'kejam', 'advertisement', 'scroll', 'to', 'continue', 'with', 'content', 'eksekusi', 'perang', 'sipil', 'kobar']",pasu dukung cepat rapid support forces rsf sorot duduk kota negara darfur el fasher sudan duga sebab warga sipil tewas pekan video edar media sosial anggota rsf duga siksa eksekusi warga personel paramiliter kerap rekam kejam advertisement scroll to continue with content eksekusi perang sipil kobar
"PT Pertamina (Persero) melalui program tanggung jawab sosial dan lingkungan (TJSL) Pertamina Peduli menyalurkan bantuan bagi masyarakat terdampak banjir bandang dan longsor di Kabupaten Sukabumi, Jawa Barat. Bantuan diserahkan secara simbolis kepada Badan Penanggulangan Bencana Daerah (BPBD) Kabupaten Sukabumi pada Jumat (31/10), sebagai bentuk kepedulian Pertamina terhadap warga yang tengah berjuang memulihkan kehidupan pascabencana. VP Corporate Communication PT Pertamina (Persero) Fadjar Djok",1,pt pertamina persero melalui program tanggung jawab sosial dan lingkungan tjsl pertamina peduli menyalurkan bantuan bagi masyarakat terdampak banjir bandang dan longsor di kabupaten sukabumi jawa barat bantuan diserahkan secara simbolis kepada badan penanggulangan bencana daerah bpbd kabupaten sukabumi pada jumat sebagai bentuk kepedulian pertamina terhadap warga yang tengah berjuang memulihkan kehidupan pascabencana vp corporate communication pt pertamina persero fadjar djok,"['pt', 'pertamina', 'persero', 'melalui', 'program', 'tanggung', 'jawab', 'sosial', 'dan', 'lingkungan', 'tjsl', 'pertamina', 'peduli', 'menyalurkan', 'bantuan', 'bagi', 'masyarakat', 'terdampak', 'banjir', 'bandang', 'dan', 'longsor', 'di', 'kabupaten', 'sukabumi', 'jawa', 'barat', 'bantuan', 'diserahkan', 'secara', 'simbolis', 'kepada', 'badan', 'penanggulangan', 'bencana', 'daerah', 'bpbd', 'kabupaten', 'sukabumi', 'pada', 'jumat', 'sebagai', 'bentuk', 'kepedulian', 'pertamina', 'terhadap', 'warga', 'yang', 'tengah', 'berjuang', 'memulihkan', 'kehidupan', 'pascabencana', 'vp', 'corporate', 'communication', 'pt', 'pertamina', 'persero', 'fadjar', 'djok']","['pt', 'pertamina', 'persero', 'program', 'tanggung', 'sosial', 'lingkungan', 'tjsl', 'pertamina', 'peduli', 'menyalurkan', 'bantuan', 'masyarakat', 'terdampak', 'banjir', 'bandang', 'longsor', 'kabupaten', 'sukabumi', 'jawa', 'barat', 'bantuan', 'diserahkan', 'simbolis', 'badan', 'penanggulangan', 'bencana', 'daerah', 'bpbd', 'kabupaten', 'sukabumi', 'jumat', 'bentuk', 'kepedulian', 'pertamina', 'warga', 'berjuang', 'memulihkan', 'kehidupan', 'pascabencana', 'vp', 'corporate', 'communication', 'pt', 'pertamina', 'persero', 'fadjar', 'djok']","['pt', 'pertamina', 'persero', 'program', 'tanggung', 'sosial', 'lingkung', 'tjsl', 'pertamina', 'peduli', 'salur', 'bantu', 'masyarakat', 'dampak', 'banjir', 'bandang', 'longsor', 'kabupaten', 'sukabumi', 'jawa', 'barat', 'bantu', 'serah', 'simbolis', 'badan', 'tanggulang', 'bencana', 'daerah', 'bpbd', 'kabupaten', 'sukabumi', 'jumat', 'bentuk', 'peduli', 'pertamina', 'warga', 'juang', 'pulih', 'hidup', 'pascabencana', 'vp', 'corporate', 'communication', 'pt', 'pertamina', 'persero', 'fadjar', 'djok']",pt pertamina persero program tanggung sosial lingkung tjsl pertamina peduli salur bantu masyarakat dampak banjir bandang longsor kabupaten sukabumi jawa barat bantu serah simbolis badan tanggulang bencana daerah bpbd kabupaten sukabumi jumat bentuk peduli pertamina warga juang pulih hidup pascabencana vp corporate communication pt pertamina persero fadjar djok
"Badan Meteorologi, Klimatologi, dan Geofisika (BMKG) mengimbau sejumlah wilayah untukÂ waspada terhadap potensi cuaca panas maksimum, hujan petir, hingga banjir rob pada hari ini, Minggu (2/11). Imbauan waspada ini disampaikan prakirawan cuaca BMKG Annisa Lestari dalam siaran daring pada Minggu (2/11). Hujan dengan intensitas ringan diperkirakan mengguyur Kota Tanjung Pinang, Padang, Jambi, Bengkulu, Jakarta, Semarang, Yogyakarta, Surabaya, Denpasar, Palangkaraya, Palu, Sorong, dan Manokwari. Sem",0,badan meteorologi klimatologi dan geofisika bmkg mengimbau sejumlah wilayah untukâ waspada terhadap potensi cuaca panas maksimum hujan petir hingga banjir rob pada hari ini minggu imbauan waspada ini disampaikan prakirawan cuaca bmkg annisa lestari dalam siaran daring pada minggu hujan dengan intensitas ringan diperkirakan mengguyur kota tanjung pinang padang jambi bengkulu jakarta semarang yogyakarta surabaya denpasar palangkaraya palu sorong dan manokwari sem,"['badan', 'meteorologi', 'klimatologi', 'dan', 'geofisika', 'bmkg', 'mengimbau', 'sejumlah', 'wilayah', 'untukâ', 'waspada', 'terhadap', 'potensi', 'cuaca', 'panas', 'maksimum', 'hujan', 'petir', 'hingga', 'banjir', 'rob', 'pada', 'hari', 'ini', 'minggu', 'imbauan', 'waspada', 'ini', 'disampaikan', 'prakirawan', 'cuaca', 'bmkg', 'annisa', 'lestari', 'dalam', 'siaran', 'daring', 'pada', 'minggu', 'hujan', 'dengan', 'intensitas', 'ringan', 'diperkirakan', 'mengguyur', 'kota', 'tanjung', 'pinang', 'padang', 'jambi', 'bengkulu', 'jakarta', 'semarang', 'yogyakarta', 'surabaya', 'denpasar', 'palangkaraya', 'palu', 'sorong', 'dan', 'manokwari', 'sem']","['badan', 'meteorologi', 'klimatologi', 'geofisika', 'bmkg', 'mengimbau', 'wilayah', 'untukâ', 'waspada', 'potensi', 'cuaca', 'panas', 'maksimum', 'hujan', 'petir', 'banjir', 'rob', 'minggu', 'imbauan', 'waspada', 'prakirawan', 'cuaca', 'bmkg', 'annisa', 'lestari', 'siaran', 'daring', 'minggu', 'hujan', 'intensitas', 'ringan', 'mengguyur', 'kota', 'tanjung', 'pinang', 'padang', 'jambi', 'bengkulu', 'jakarta', 'semarang', 'yogyakarta', 'surabaya', 'denpasar', 'palangkaraya', 'palu', 'sorong', 'manokwari', 'sem']","['badan', 'meteorologi', 'klimatologi', 'geofisika', 'bmkg', 'imbau', 'wilayah', 'untuk', 'waspada', 'potensi', 'cuaca', 'panas', 'maksimum', 'hujan', 'petir', 'banjir', 'rob', 'minggu', 'imbau', 'waspada', 'prakirawan', 'cuaca', 'bmkg', 'annisa', 'lestari', 'siar', 'daring', 'minggu', 'hujan', 'intensitas', 'ringan', 'guyur', 'kota', 'tanjung', 'pinang', 'padang', 'jambi', 'bengkulu', 'jakarta', 'semarang', 'yogyakarta', 'surabaya', 'denpasar', 'palangkaraya', 'palu', 'sorong', 'manokwari', 'sem']",badan meteorologi klimatologi geofisika bmkg imbau wilayah untuk waspada potensi cuaca panas maksimum hujan petir banjir rob minggu imbau waspada prakirawan cuaca bmkg annisa lestari siar daring minggu hujan intensitas ringan guyur kota tanjung pinang padang jambi bengkulu jakarta semarang yogyakarta surabaya denpasar palangkaraya palu sorong manokwari sem
"PelatihÂ Timnas Futsal Indonesia Hector Souto buka-bukaan soal Skuad Garuda yang disamakan dengan tim-tim besar setelah mengalahkan Australia 3-1 dalam laga uji coba di Indonesia Arena, Minggu (31/10). Dalam pertandingan tersebut gol-gol kemenangan Indonesia atas Australia dicetak Reza Gunawan dan Wendy Brian Ick yang dua kali membobol gawang lawan. Kemenangan atas Australia tersebut memperpanjang rapor positif Indonesia atas tim-tim besar. Sebelumnya Indonesia juga menang atas Belanda dalam turn",1,pelatihâ timnas futsal indonesia hector souto buka bukaan soal skuad garuda yang disamakan dengan tim tim besar setelah mengalahkan australia dalam laga uji coba di indonesia arena minggu dalam pertandingan tersebut gol gol kemenangan indonesia atas australia dicetak reza gunawan dan wendy brian ick yang dua kali membobol gawang lawan kemenangan atas australia tersebut memperpanjang rapor positif indonesia atas tim tim besar sebelumnya indonesia juga menang atas belanda dalam turn,"['pelatihâ', 'timnas', 'futsal', 'indonesia', 'hector', 'souto', 'buka', 'bukaan', 'soal', 'skuad', 'garuda', 'yang', 'disamakan', 'dengan', 'tim', 'tim', 'besar', 'setelah', 'mengalahkan', 'australia', 'dalam', 'laga', 'uji', 'coba', 'di', 'indonesia', 'arena', 'minggu', 'dalam', 'pertandingan', 'tersebut', 'gol', 'gol', 'kemenangan', 'indonesia', 'atas', 'australia', 'dicetak', 'reza', 'gunawan', 'dan', 'wendy', 'brian', 'ick', 'yang', 'dua', 'kali', 'membobol', 'gawang', 'lawan', 'kemenangan', 'atas', 'australia', 'tersebut', 'memperpanjang', 'rapor', 'positif', 'indonesia', 'atas', 'tim', 'tim', 'besar', 'sebelumnya', 'indonesia', 'juga', 'menang', 'atas', 'belanda', 'dalam', 'turn']","['pelatihâ', 'timnas', 'futsal', 'indonesia', 'hector', 'souto', 'buka', 'bukaan', 'skuad', 'garuda', 'disamakan', 'tim', 'tim', 'mengalahkan', 'australia', 'laga', 'uji', 'coba', 'indonesia', 'arena', 'minggu', 'pertandingan', 'gol', 'gol', 'kemenangan', 'indonesia', 'australia', 'dicetak', 'reza', 'gunawan', 'wendy', 'brian', 'ick', 'kali', 'membobol', 'gawang', 'lawan', 'kemenangan', 'australia', 'memperpanjang', 'rapor', 'positif', 'indonesia', 'tim', 'tim', 'indonesia', 'menang', 'belanda', 'turn']","['latih', 'timnas', 'futsal', 'indonesia', 'hector', 'souto', 'buka', 'buka', 'skuad', 'garuda', 'sama', 'tim', 'tim', 'kalah', 'australia', 'laga', 'uji', 'coba', 'indonesia', 'arena', 'minggu', 'tanding', 'gol', 'gol', 'menang', 'indonesia', 'australia', 'cetak', 'reza', 'gunawan', 'wendy', 'brian', 'ick', 'kali', 'bobol', 'gawang', 'lawan', 'menang', 'australia', 'panjang', 'rapor', 'positif', 'indonesia', 'tim', 'tim', 'indonesia', 'menang', 'belanda', 'turn']",latih timnas futsal indonesia hector souto buka buka skuad garuda sama tim tim kalah australia laga uji coba indonesia arena minggu tanding gol gol menang indonesia australia cetak reza gunawan wendy brian ick kali bobol gawang lawan menang australia panjang rapor positif indonesia tim tim indonesia menang belanda turn
"Raja Keraton Surakarta, Sri Susuhunan Pakubuwana XIII HangabehiÂ meninggal dunia dalam usia 77 tahun pada Minggu (2/11). Jenazah PB XIII akan dimakamkan di Pajimatan Imogiri, Bantul, Daerah Istimewa Yogyakarta. Salah satu kerabat Keraton Surakarta, KPH Eddy Wirabhumi mengatakan rencananya jenazah SISKS Pakubuwana XIII akan dimakamkan pada Selasa (4/11).   ADVERTISEMENT   SCROLL TO CONTINUE WITH CONTENT  ""Sedang dibicarakan. Pemakaman kemungkinan besar di hari Selasa Kliwon. Kebetulan besok ka",0,raja keraton surakarta sri susuhunan pakubuwana xii hangabehiâ meninggal dunia dalam usia tahun pada minggu jenazah pb xii akan dimakamkan di pajimatan imogiri bantul daerah istimewa yogyakarta salah satu kerabat keraton surakarta kph eddy wirabhumi mengatakan rencananya jenazah sisks pakubuwana xii akan dimakamkan pada selasa advertisement scroll to continue with content sedang dibicarakan pemakaman kemungkinan besar di hari selasa kliwon kebetulan besok ka,"['raja', 'keraton', 'surakarta', 'sri', 'susuhunan', 'pakubuwana', 'xii', 'hangabehiâ', 'meninggal', 'dunia', 'dalam', 'usia', 'tahun', 'pada', 'minggu', 'jenazah', 'pb', 'xii', 'akan', 'dimakamkan', 'di', 'pajimatan', 'imogiri', 'bantul', 'daerah', 'istimewa', 'yogyakarta', 'salah', 'satu', 'kerabat', 'keraton', 'surakarta', 'kph', 'eddy', 'wirabhumi', 'mengatakan', 'rencananya', 'jenazah', 'sisks', 'pakubuwana', 'xii', 'akan', 'dimakamkan', 'pada', 'selasa', 'advertisement', 'scroll', 'to', 'continue', 'with', 'content', 'sedang', 'dibicarakan', 'pemakaman', 'kemungkinan', 'besar', 'di', 'hari', 'selasa', 'kliwon', 'kebetulan', 'besok', 'ka']","['raja', 'keraton', 'surakarta', 'sri', 'susuhunan', 'pakubuwana', 'xii', 'hangabehiâ', 'meninggal', 'dunia', 'usia', 'minggu', 'jenazah', 'pb', 'xii', 'dimakamkan', 'pajimatan', 'imogiri', 'bantul', 'daerah', 'istimewa', 'yogyakarta', 'salah', 'kerabat', 'keraton', 'surakarta', 'kph', 'eddy', 'wirabhumi', 'rencananya', 'jenazah', 'sisks', 'pakubuwana', 'xii', 'dimakamkan', 'selasa', 'advertisement', 'scroll', 'to', 'continue', 'with', 'content', 'dibicarakan', 'pemakaman', 'selasa', 'kliwon', 'besok', 'ka']","['raja', 'keraton', 'surakarta', 'sri', 'susuhunan', 'pakubuwana', 'xii', 'hangabehi', 'tinggal', 'dunia', 'usia', 'minggu', 'jenazah', 'pb', 'xii', 'makam', 'pajimatan', 'imogiri', 'bantul', 'daerah', 'istimewa', 'yogyakarta', 'salah', 'kerabat', 'keraton', 'surakarta', 'kph', 'eddy', 'wirabhumi', 'rencana', 'jenazah', 'sisks', 'pakubuwana', 'xii', 'makam', 'selasa', 'advertisement', 'scroll', 'to', 'continue', 'with', 'content', 'bicara', 'makam', 'selasa', 'kliwon', 'besok', 'ka']",raja keraton surakarta sri susuhunan pakubuwana xii hangabehi tinggal dunia usia minggu jenazah pb xii makam pajimatan imogiri bantul daerah istimewa yogyakarta salah kerabat keraton surakarta kph eddy wirabhumi rencana jenazah sisks pakubuwana xii makam selasa advertisement scroll to continue with content bicara makam selasa kliwon besok ka
